capture_id,class,csv_path,row_count,split,sha256
normal:20250617_165939,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_165939.csv,37,train,0f6bdcc6740371324f974fd6c22dce2766141f2a4272d22e9fad4cbb9438b138
normal:20250617_165952,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_165952.csv,52,train,bf89dbf900d5cadbc70e02cd4ce3fe4181a61badf34c421b40cd795cea98d3df
normal:20250617_170008,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170008.csv,189,train,33b01628410480d104a5bef092591503c67a0a1ff26049913a5d008a25dd5614
normal:20250617_170035,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170035.csv,31,train,a98e8a30c13656b2ca6a91975c8dee9354af14a63551d0530b7b2290b5c5e9b1
normal:20250617_170145,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170145.csv,30,train,093d781d5c44a36fc60aed1c7108af39d50f286d7fbd2f2a39dcc89e0a30c346
normal:20250617_170204,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170204.csv,65,test,43ac69799f33332cc86d4daa942fe0303ad0e9aa381b43c26f7212e54f74d536
normal:20250617_170218,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170218.csv,32,validation,900ea87e5a8a08e782fe519a648dc799e6580254a78fd73d703960034e501ca3
normal:20250617_170231,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170231.csv,79,validation,7b73c2f1158872b53e01446467329145e2098b92431049cead554f78ed61273b
normal:20250617_170328,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170328.csv,25,train,dc5629a85e7e117d72d158eaf8c066da21c3500d5daba1ce6f24e6a389d8c366
normal:20250617_170348,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170348.csv,54,validation,7d1d4ef2bb4d33802313fe1ad6a71c91678d60d94663f4fc0fcc896478b84482
normal:20250617_170403,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170403.csv,46,train,74e1fdc978ace08dbdee2deef9d5f985756ebdcb32ade7cb3b54ba3739a9208a
normal:20250617_170417,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170417.csv,45,validation,6fe6eaae17348ddee3a212b5aacc70a53efc02e8673d262f2c604e3e01af52c6
normal:20250617_170433,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170433.csv,112,train,52af361e9db8bc513f1a31ef5b0013f963af0b5367debed85da4be515064bdc7
normal:20250617_170452,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170452.csv,74,train,a57aa9add0a2161e279893436d2e75e4863d770920365a8d25a8b9cc03ea2095
normal:20250617_170516,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170516.csv,69,train,77e4db145a1cd5bf4a89b0f8336136250cbe0a0ac2e1eb58b9fce97c8a41f480
normal:20250617_170543,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170543.csv,94,train,74e05d2f745f8179bcd252fe0b81b7fa3fba2c63d760d8436f3803c8a769f6f4
normal:20250617_170600,NonTor,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170600.csv,67,train,221ec95f6428923b0cb06040e79b3f4b56048dcc4b84737f74a4a301dbb82570
