variant,seed,fusion_weight,training_seconds,inference_ms_per_flow,input_features,hierarchy_features,accuracy,precision_macro,recall_macro,f1_macro
Hierarchical-FULL,0,,1.789768239017576,0.06131380018778145,70,64,0.94,0.9404839299621897,0.9400000000000001,0.940104623263226
Global-FULL,0,,1.789768239017576,0.06131380018778145,70,64,0.9502,0.9507227665929762,0.9502,0.9502839128675074
DPF-FULL,0,0.75,1.789768239017576,0.06131380018778145,70,64,0.9498,0.9503317099797336,0.9498000000000001,0.9499007542784232
HardHierarchy-FULL,0,,1.789768239017576,0.06131380018778145,70,64,0.9392,0.939843714467198,0.9392000000000001,0.939375406852321
Hierarchical-FULL,0,,1.6071514929644763,0.053640244016423824,70,70,0.938,0.9385835717462218,0.938,0.9381474709879312
Global-FULL,0,,1.6071514929644763,0.053640244016423824,70,70,0.9502,0.9507227665929762,0.9502,0.9502839128675074
DPF-FULL-NoJSD,0,0.75,1.6071514929644763,0.053640244016423824,70,70,0.9498,0.9503672283528207,0.9498,0.9499144537634822
HardHierarchy-FULL,0,,1.6071514929644763,0.053640244016423824,70,70,0.9378,0.9384830163367163,0.9378,0.9379917495109729
Hierarchical-PT,0,,1.7490593078546226,0.05887666018679738,51,51,0.94,0.9403586832289574,0.9399999999999998,0.9400946153261888
Global-PT,0,,1.7490593078546226,0.05887666018679738,51,51,0.949,0.949668985037581,0.9490000000000001,0.9491029119651602
DPF-PT,0,0.75,1.7490593078546226,0.05887666018679738,51,51,0.9484,0.9490300546482799,0.9484,0.9485180335077823
HardHierarchy-PT,0,,1.7490593078546226,0.05887666018679738,51,51,0.9394,0.9398731318290203,0.9394,0.9395510681703731
Hierarchical-AS,0,,1.979055724805221,0.06760720582678914,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,0,,1.979055724805221,0.06760720582678914,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,0,0.0,1.979055724805221,0.06760720582678914,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,0,,1.979055724805221,0.06760720582678914,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,1,,1.7132780700922012,0.05303168878890574,70,64,0.9384,0.9388814926346161,0.9383999999999999,0.938520385270119
