variant,macro_f1_mean,macro_f1_std,accuracy_mean,precision_mean,recall_mean,training_seconds_mean,inference_ms_per_flow_mean
Hierarchical-FULL,0.939830391311814,0.0013136952982521243,0.93972,0.9401952873032083,0.93972,1.6894467127509416,0.05986228308873252
Global-FULL,0.9511723282366189,0.0007708426504070299,0.95106,0.9517083337148522,0.95106,1.6894467127509416,0.05986228308873252
DPF-FULL,0.9507160362776332,0.0011157033946043453,0.9506,0.9512323094424664,0.9506,1.7725127957062796,0.058393704923801124
HardHierarchy-FULL,0.9393383611920209,0.0013383707519770652,0.93916,0.939785524592452,0.93916,1.6894467127509416,0.05986228308873252
DPF-FULL-NoJSD,0.9509209404488184,0.0009619905872617141,0.9507999999999999,0.9514654849000413,0.9507999999999999,1.6063806297956034,0.061330861253663896
Hierarchical-PT,0.940938025404723,0.0010189048778547925,0.94084,0.9412636347468751,0.94084,1.7379931182367727,0.06104203489143402
Global-PT,0.9507299523467136,0.0013461512296445866,0.95062,0.9512402940310478,0.95062,1.7379931182367727,0.06104203489143402
DPF-PT,0.9502257756471941,0.001854809462919632,0.9501200000000001,0.9507062746817097,0.9501200000000001,1.7379931182367727,0.06104203489143402
HardHierarchy-PT,0.9407914615276647,0.0011986564035842149,0.9406399999999999,0.9411770250975225,0.9406399999999999,1.7379931182367727,0.06104203489143402
Hierarchical-AS,0.19498593021145566,0.0,0.2888,0.24389815627743636,0.2888,1.985096606076695,0.06319505596067757
Global-AS,0.19498593021145566,0.0,0.2888,0.24389815627743636,0.2888,1.985096606076695,0.06319505596067757
DPF-AS,0.19498593021145566,0.0,0.2888,0.24389815627743636,0.2888,1.985096606076695,0.06319505596067757
HardHierarchy-AS,0.19498593021145566,0.0,0.2888,0.24389815627743636,0.2888,1.985096606076695,0.06319505596067757
