seed,nontor_to_torfamily_ratio,macro_f1,accuracy,sample_count
0,0.25,0.9362156430173785,0.93625,800
0,0.5,0.9406072154790948,0.95,480
0,1.0,0.9219518454877669,0.95,320
0,2.0,0.9545691898225783,0.9791666666666666,240
0,4.0,0.9496122752021119,0.985,200
0,8.0,0.9811912225705329,0.9944444444444445,180
1,0.25,0.9374380216399267,0.9375,800
1,0.5,0.9405318824617618,0.95,480
1,1.0,0.9214225185570706,0.95,320
1,2.0,0.9036954816601579,0.9583333333333334,240
1,4.0,0.9498492312285416,0.985,200
1,8.0,0.9811912225705329,0.9944444444444445,180
2,0.25,0.9386015520763029,0.93875,800
2,0.5,0.9457236939096425,0.9541666666666667,480
2,1.0,0.9322054922514693,0.95625,320
2,2.0,0.9344637224283986,0.9708333333333333,240
2,4.0,0.9506649067810594,0.985,200
2,8.0,0.9411912225705329,0.9888888888888889,180
3,0.25,0.9411653203557961,0.94125,800
3,0.5,0.9275887135127328,0.9395833333333333,480
3,1.0,0.9572614268760316,0.971875,320
3,2.0,0.9145062924709688,0.9625,240
3,4.0,0.928746474336311,0.98,200
3,8.0,0.9038174851967955,0.9833333333333333,180
4,0.25,0.9349185045075382,0.935,800
4,0.5,0.9352603425769687,0.9458333333333333,480
4,1.0,0.9317718530667752,0.95625,320
4,2.0,0.9158931872724976,0.9625,240
4,4.0,0.9298492312285415,0.98,200
4,8.0,0.8599791013584117,0.9777777777777777,180
5,0.25,0.9373719807980987,0.9375,800
5,0.5,0.9382152689596855,0.9479166666666666,480
5,1.0,0.921565267375472,0.95,320
5,2.0,0.9147428606509347,0.9625,240
5,4.0,0.9698492312285417,0.99,200
5,8.0,0.9038174851967955,0.9833333333333333,180
6,0.25,0.9361253362410267,0.93625,800
6,0.5,0.9304241081073563,0.9416666666666667,480
6,1.0,0.9163979885736551,0.946875,320
6,2.0,0.9247201326848089,0.9666666666666667,240
6,4.0,0.9698492312285417,0.99,200
6,8.0,0.9811912225705329,0.9944444444444445,180
7,0.25,0.9386363754474232,0.93875,800
7,0.5,0.934334933312934,0.9458333333333333,480
7,1.0,0.9546804188154401,0.971875,320
7,2.0,0.9597373358348967,0.9833333333333333,240
7,4.0,1.0,1.0,200
7,8.0,0.9595959595959596,0.9944444444444445,180
8,0.25,0.9373819965476189,0.9375,800
8,0.5,0.9299212528275721,0.9416666666666667,480
8,1.0,0.9169861058800812,0.946875,320
8,2.0,0.935590911009389,0.9708333333333333,240
8,4.0,0.9508016121809225,0.985,200
8,8.0,0.9811912225705329,0.9944444444444445,180
9,0.25,0.9386764117328059,0.93875,800
9,0.5,0.9455972132822387,0.9541666666666667,480
9,1.0,0.9315667729460833,0.95625,320
9,2.0,0.935154332631204,0.9708333333333333,240
9,4.0,0.9298492312285417,0.98,200
9,8.0,0.9411912225705329,0.9888888888888889,180
