stage,feature,jsd_score
NonTor / Tor-family,Init_Win_bytes_backward,0.7952799997679946
NonTor / Tor-family,server_latency,0.6444332916264826
NonTor / Tor-family,Fwd Packet Length Std,0.5920337731771882
NonTor / Tor-family,Bwd Packet Length Max,0.5806169609619425
NonTor / Tor-family,Bwd Packet Length Std,0.5734465779890316
NonTor / Tor-family,Average Packet Size,0.5576061691841796
NonTor / Tor-family,Fwd Packet Length Max,0.5145870561921131
NonTor / Tor-family,Bwd Packet Length Mean,0.4786788722302708
NonTor / Tor-family,Avg Bwd Segment Size,0.4786788722302708
NonTor / Tor-family,SYN Flag Count,0.45913629987492
NonTor / Tor-family,Fwd Packet Length Mean,0.44389362815810834
NonTor / Tor-family,Avg Fwd Segment Size,0.44389362815810834
NonTor / Tor-family,tls_server_ptype,0.4301917999081209
NonTor / Tor-family,tls_server_version,0.4301917999081209
NonTor / Tor-family,tls_server_alpn_info,0.4301917999081209
NonTor / Tor-family,tls_server_cipher_val,0.4301917999080672
NonTor / Tor-family,Idle Max,0.3963270816456878
NonTor / Tor-family,Fwd IAT Total,0.39282243490331176
NonTor / Tor-family,Flow Duration,0.39017174335685534
NonTor / Tor-family,Idle Min,0.3901301415474242
NonTor / Tor-family,Fwd IAT Max,0.3889026591460278
NonTor / Tor-family,Flow IAT Max,0.38733009759049847
NonTor / Tor-family,Idle Mean,0.3788777570926174
NonTor / Tor-family,Down/Up Ratio,0.3754804540683574
NonTor / Tor-family,Init_Win_bytes_forward,0.35186806845037016
NonTor / Tor-family,Flow IAT Mean,0.3431379751213052
NonTor / Tor-family,Fwd IAT Mean,0.3387249196311409
NonTor / Tor-family,Flow IAT Std,0.33446786834983755
NonTor / Tor-family,Flow Packets/s,0.3337984701370345
NonTor / Tor-family,Bwd IAT Total,0.3320195520821205
NonTor / Tor-family,FIN Flag Count,0.3255665092597749
NonTor / Tor-family,Fwd IAT Std,0.323385781750765
NonTor / Tor-family,Idle Std,0.32330786955497254
NonTor / Tor-family,Bwd Packet Length Min,0.3129299210849582
NonTor / Tor-family,Packet Length Variance,0.30462708289002505
NonTor / Tor-family,Active Max,0.30230495790959017
NonTor / Tor-family,Active Std,0.2887219323484523
