seed,held_out_class,threshold,unknown_detection_rate,known_retention_rate,balanced_rate
0,Tor-SS,0.5,0.01875,0.9953125,0.50703125
0,Tor-SS,0.55,0.1125,0.9875,0.55
0,Tor-SS,0.6,0.24375,0.9828125,0.61328125
0,Tor-SS,0.65,0.30625,0.9640625,0.6351562500000001
0,Tor-SS,0.7,0.38125,0.95,0.6656249999999999
0,Tor-SS,0.75,0.48125,0.94375,0.7125
0,Tor-SS,0.8,0.63125,0.9375,0.784375
0,Tor-SS,0.85,0.73125,0.925,0.828125
0,Tor-SS,0.8999999999999999,0.79375,0.8984375,0.84609375
0,Tor-SS,0.95,0.86875,0.8625,0.8656250000000001
0,Tor-Trojan,0.5,0.24375,0.9953125,0.61953125
0,Tor-Trojan,0.55,0.29375,0.984375,0.6390625
0,Tor-Trojan,0.6,0.3375,0.965625,0.6515625
0,Tor-Trojan,0.65,0.55,0.9390625,0.7445312500000001
0,Tor-Trojan,0.7,0.61875,0.928125,0.7734375
0,Tor-Trojan,0.75,0.675,0.915625,0.7953125000000001
0,Tor-Trojan,0.8,0.70625,0.9078125,0.8070312500000001
0,Tor-Trojan,0.85,0.75,0.890625,0.8203125
0,Tor-Trojan,0.8999999999999999,0.8,0.8671875,0.83359375
0,Tor-Trojan,0.95,0.90625,0.8265625,0.86640625
0,Tor-Vmess,0.5,0.28125,0.9984375,0.63984375
0,Tor-Vmess,0.55,0.34375,0.984375,0.6640625
0,Tor-Vmess,0.6,0.4375,0.9734375,0.70546875
0,Tor-Vmess,0.65,0.5625,0.959375,0.7609375
0,Tor-Vmess,0.7,0.65625,0.946875,0.8015625
0,Tor-Vmess,0.75,0.75625,0.9359375,0.84609375
0,Tor-Vmess,0.8,0.7875,0.9203125,0.85390625
0,Tor-Vmess,0.85,0.84375,0.9015625,0.87265625
0,Tor-Vmess,0.8999999999999999,0.8625,0.8859375,0.87421875
0,Tor-Vmess,0.95,0.91875,0.8296875,0.87421875
1,Tor-SS,0.5,0.01875,0.996875,0.5078125
1,Tor-SS,0.55,0.1,0.9859375,0.54296875
1,Tor-SS,0.6,0.2125,0.9734375,0.5929687499999999
1,Tor-SS,0.65,0.29375,0.9625,0.628125
1,Tor-SS,0.7,0.375,0.9546875,0.66484375
1,Tor-SS,0.75,0.5,0.94375,0.721875
1,Tor-SS,0.8,0.675,0.9390625,0.8070312500000001
1,Tor-SS,0.85,0.7375,0.925,0.83125
1,Tor-SS,0.8999999999999999,0.7875,0.8984375,0.84296875
1,Tor-SS,0.95,0.85625,0.86875,0.8625
1,Tor-Trojan,0.5,0.23125,0.990625,0.6109375
1,Tor-Trojan,0.55,0.2875,0.9828125,0.63515625
1,Tor-Trojan,0.6,0.3875,0.9625,0.675
1,Tor-Trojan,0.65,0.54375,0.9515625,0.7476562499999999
1,Tor-Trojan,0.7,0.61875,0.934375,0.7765625
1,Tor-Trojan,0.75,0.6875,0.9140625,0.80078125
1,Tor-Trojan,0.8,0.71875,0.903125,0.8109375
1,Tor-Trojan,0.85,0.75,0.8875,0.81875
1,Tor-Trojan,0.8999999999999999,0.80625,0.8625,0.8343750000000001
1,Tor-Trojan,0.95,0.93125,0.8171875,0.87421875
1,Tor-Vmess,0.5,0.28125,0.9984375,0.63984375
1,Tor-Vmess,0.55,0.31875,0.9859375,0.65234375
1,Tor-Vmess,0.6,0.4125,0.96875,0.690625
1,Tor-Vmess,0.65,0.55625,0.9578125,0.75703125
1,Tor-Vmess,0.7,0.7,0.9515625,0.8257812499999999
1,Tor-Vmess,0.75,0.76875,0.9390625,0.8539062500000001
1,Tor-Vmess,0.8,0.79375,0.925,0.859375
1,Tor-Vmess,0.85,0.8375,0.9046875,0.87109375
1,Tor-Vmess,0.8999999999999999,0.86875,0.875,0.871875
1,Tor-Vmess,0.95,0.94375,0.8265625,0.88515625
2,Tor-SS,0.5,0.0125,0.996875,0.5046875
2,Tor-SS,0.55,0.1125,0.9859375,0.54921875
2,Tor-SS,0.6,0.26875,0.9765625,0.62265625
2,Tor-SS,0.65,0.3125,0.959375,0.6359375
2,Tor-SS,0.7,0.40625,0.9515625,0.67890625
2,Tor-SS,0.75,0.5125,0.9421875,0.72734375
2,Tor-SS,0.8,0.63125,0.9390625,0.78515625
2,Tor-SS,0.85,0.73125,0.9234375,0.82734375
2,Tor-SS,0.8999999999999999,0.8,0.9,0.8500000000000001
2,Tor-SS,0.95,0.875,0.865625,0.8703125
2,Tor-Trojan,0.5,0.25625,0.9953125,0.62578125
