seed,class,precision,recall,f1-score,support
0,NonTor,1.0,0.99375,0.9968652037617556,160
0,Tor,0.9696969696969697,1.0,0.9846153846153847,160
0,Tor-SS,0.8597560975609756,0.88125,0.8703703703703702,160
0,Tor-Trojan,0.9415584415584416,0.90625,0.9235668789808917,160
0,Tor-Vmess,0.9113924050632911,0.9,0.9056603773584907,160
1,NonTor,1.0,0.99375,0.9968652037617556,160
1,Tor,0.9696969696969697,1.0,0.9846153846153847,160
1,Tor-SS,0.8650306748466258,0.88125,0.8730650154798761,160
1,Tor-Trojan,0.9419354838709677,0.9125,0.9269841269841269,160
1,Tor-Vmess,0.9113924050632911,0.9,0.9056603773584907,160
2,NonTor,1.0,0.99375,0.9968652037617556,160
2,Tor,0.9696969696969697,1.0,0.9846153846153847,160
2,Tor-SS,0.8757763975155279,0.88125,0.8785046728971962,160
2,Tor-Trojan,0.9245283018867925,0.91875,0.9216300940438872,160
2,Tor-Vmess,0.9230769230769231,0.9,0.9113924050632911,160
3,NonTor,1.0,0.99375,0.9968652037617556,160
3,Tor,0.9696969696969697,1.0,0.9846153846153847,160
3,Tor-SS,0.8773006134969326,0.89375,0.8854489164086687,160
3,Tor-Trojan,0.9423076923076923,0.91875,0.930379746835443,160
3,Tor-Vmess,0.9171974522292994,0.9,0.9085173501577287,160
4,NonTor,1.0,0.99375,0.9968652037617556,160
4,Tor,0.9696969696969697,1.0,0.9846153846153847,160
4,Tor-SS,0.8588957055214724,0.875,0.8668730650154799,160
4,Tor-Trojan,0.9294871794871795,0.90625,0.9177215189873418,160
4,Tor-Vmess,0.9171974522292994,0.9,0.9085173501577287,160
5,NonTor,1.0,0.99375,0.9968652037617556,160
5,Tor,0.9696969696969697,1.0,0.9846153846153847,160
5,Tor-SS,0.8695652173913043,0.875,0.8722741433021807,160
5,Tor-Trojan,0.9363057324840764,0.91875,0.9274447949526814,160
5,Tor-Vmess,0.9113924050632911,0.9,0.9056603773584907,160
6,NonTor,1.0,0.99375,0.9968652037617556,160
6,Tor,0.9696969696969697,1.0,0.9846153846153847,160
6,Tor-SS,0.8695652173913043,0.875,0.8722741433021807,160
6,Tor-Trojan,0.9358974358974359,0.9125,0.9240506329113924,160
6,Tor-Vmess,0.9056603773584906,0.9,0.90282131661442,160
7,NonTor,1.0,1.0,1.0,160
7,Tor,0.9696969696969697,1.0,0.9846153846153847,160
7,Tor-SS,0.8650306748466258,0.88125,0.8730650154798761,160
7,Tor-Trojan,0.9419354838709677,0.9125,0.9269841269841269,160
7,Tor-Vmess,0.9171974522292994,0.9,0.9085173501577287,160
8,NonTor,1.0,0.99375,0.9968652037617556,160
8,Tor,0.9696969696969697,1.0,0.9846153846153847,160
8,Tor-SS,0.8703703703703703,0.88125,0.8757763975155279,160
8,Tor-Trojan,0.9299363057324841,0.9125,0.9211356466876972,160
8,Tor-Vmess,0.9171974522292994,0.9,0.9085173501577287,160
9,NonTor,1.0,0.99375,0.9968652037617556,160
9,Tor,0.9696969696969697,1.0,0.9846153846153847,160
9,Tor-SS,0.8711656441717791,0.8875,0.8792569659442724,160
9,Tor-Trojan,0.9419354838709677,0.9125,0.9269841269841269,160
9,Tor-Vmess,0.9113924050632911,0.9,0.9056603773584907,160
