seed,held_out_class,threshold,unknown_detection_rate,known_retention_rate,balanced_rate
0,Tor-SS,0.5,0.0,1.0,0.5
0,Tor-SS,0.55,0.0625,0.9953125,0.52890625
0,Tor-SS,0.6,0.1625,0.9921875,0.57734375
0,Tor-SS,0.65,0.2625,0.98125,0.621875
0,Tor-SS,0.7,0.3375,0.971875,0.6546875000000001
0,Tor-SS,0.75,0.4375,0.959375,0.6984375
0,Tor-SS,0.8,0.53125,0.946875,0.7390625
0,Tor-SS,0.85,0.675,0.93125,0.8031250000000001
0,Tor-SS,0.8999999999999999,0.7625,0.9140625,0.83828125
0,Tor-SS,0.95,0.84375,0.8875,0.865625
0,Tor-Trojan,0.5,0.10625,1.0,0.553125
0,Tor-Trojan,0.55,0.24375,0.9875,0.615625
0,Tor-Trojan,0.6,0.29375,0.9734375,0.63359375
0,Tor-Trojan,0.65,0.3,0.959375,0.6296875
0,Tor-Trojan,0.7,0.31875,0.946875,0.6328125
0,Tor-Trojan,0.75,0.39375,0.9265625,0.66015625
0,Tor-Trojan,0.8,0.65,0.909375,0.7796875000000001
0,Tor-Trojan,0.85,0.725,0.8875,0.8062499999999999
0,Tor-Trojan,0.8999999999999999,0.79375,0.865625,0.8296874999999999
0,Tor-Trojan,0.95,0.89375,0.83125,0.8625
0,Tor-Vmess,0.5,0.20625,0.9984375,0.60234375
0,Tor-Vmess,0.55,0.33125,0.984375,0.6578125
0,Tor-Vmess,0.6,0.4625,0.971875,0.7171875000000001
0,Tor-Vmess,0.65,0.6625,0.965625,0.8140624999999999
0,Tor-Vmess,0.7,0.7,0.9453125,0.82265625
0,Tor-Vmess,0.75,0.7625,0.940625,0.8515625
0,Tor-Vmess,0.8,0.80625,0.9265625,0.86640625
0,Tor-Vmess,0.85,0.81875,0.90625,0.8625
0,Tor-Vmess,0.8999999999999999,0.85,0.8734375,0.86171875
0,Tor-Vmess,0.95,0.8625,0.8296875,0.8460937500000001
