capture_id,class,pcap_path,csv_path,pcap_size,row_count,prototype_distance,prototype_margin,selection_rank,split,pcap_sha256,csv_sha256
normal:20250626_112305,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250626_112305.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250626_112305.csv,2515678,37,0.24085174262999853,,10,validation,bfa6c7c0892215605379fd2d7af62d290e978fa662a88ee558d44a4b964927b0,23481c19ac3867535fed5551403a03c16fe09ad663a84e1dc92f9fc0d556e2cf
normal:20250626_112324,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250626_112324.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250626_112324.csv,7074180,71,0.2531274141075818,,14,validation,96177ebd79d8059315e7aba225d944f59899d7d17931194975e4b06691e77b34,b0e8214aa836eb3b5240beb5192860f166249dc187e45effde273cf7708b8c80
normal:20250626_113312,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250626_113312.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250626_113312.csv,3993217,57,0.1833998055571069,,22,train,81fbedb4b8fa507d7933bf09b030cd384910bf0a198c9c27f7ff0ad589b789f3,215815156a1899d53e8d386762742755db172c5cc71dc7325c55cb55dc2830c8
normal:20250626_113508,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250626_113508.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250626_113508.csv,1640863,52,0.2486075019923606,,86,train,e95fc52a608a756a50e4a9fa97a437c04b7d387fb2a37be611fb5794fa3acb3c,7df91143af93037a639ff064a33c5fbc7fe219aecd0b8ece441dd299c7412175
normal:20250626_113633,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250626_113633.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250626_113633.csv,954971,35,0.2604477869964382,,103,train,170bef749d88999d6edb244f72639730792254a224cf3bdbe769a8f2143e1fa9,f2ed66828578cf08f99172e56a831909e74ca0080a5894d04ba384ddfc083703
normal:20250626_113830,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250626_113830.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250626_113830.csv,16022285,57,0.12515902733686388,,3,train,96c49588cef42ef39360c2e45ef6a73efa5ed1f2ffb99b59f51185f888ba8b0a,f2290fb8144277e9209bcb721841d11bb23be2cd2c5ad25fd98c2ee236e90846
normal:20250703_173450,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250703_173450.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250703_173450.csv,4830560,89,0.22635401396843882,,50,train,18502c4643f7618c910494f27ab40311e2e5edfa0f9d9f27db1e44fb123c83f9,4a8a9337cbd1b007c65525dc5bb7136d424f2cfffdc2361dd3a63083be44e4c7
normal:20250703_173807,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250703_173807.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250703_173807.csv,5240900,44,0.2517077950246591,,13,validation,289c51b295964a0027c550ef75b9c4656412239009fcb0d9e691ae30fdd7a36d,2edba5fe5c73d24265f72290726714aaa8a434e899ded41f3e39f8935a9e16f0
normal:20250703_181016,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250703_181016.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250703_181016.csv,3586615,33,0.2786405881326538,,37,test,1e0361f808ad70600fdf692e661293bdc449feddeadb1936dfe92c04919fbc88,99ee6b0cdfeb4895470929d586bb2aa3d76618b63bb731101ddcb522c3840a16
normal:20250703_181206,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250703_181206.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250703_181206.csv,2608862,81,0.21190523321991603,,38,train,49b1a3f84dc22c4c381d0703207413b4ff630b3eaf0d91b847282d55c69bba4d,0fc38eae21fa035153ce7238f90a2d4d77ba963581fafa2857c460b35ccdafb0
