stage,feature,jsd_score
NonTor / Tor-family,Init_Win_bytes_backward,0.7873623614793177
NonTor / Tor-family,server_latency,0.6350550496899289
NonTor / Tor-family,Bwd Packet Length Max,0.565050477790236
NonTor / Tor-family,Fwd Packet Length Std,0.5634779411183345
NonTor / Tor-family,Bwd Packet Length Std,0.5580466389680819
NonTor / Tor-family,Average Packet Size,0.548570245522632
NonTor / Tor-family,Fwd Packet Length Max,0.5005623708039952
NonTor / Tor-family,Fwd Packet Length Mean,0.4646280346359485
NonTor / Tor-family,Avg Fwd Segment Size,0.4646280346359485
NonTor / Tor-family,SYN Flag Count,0.4500899727894274
NonTor / Tor-family,Bwd Packet Length Mean,0.4499570784525494
NonTor / Tor-family,Avg Bwd Segment Size,0.4499570784525494
NonTor / Tor-family,Idle Min,0.41697293806585506
NonTor / Tor-family,Idle Max,0.41413208457765854
NonTor / Tor-family,tls_server_ptype,0.413334131894583
NonTor / Tor-family,tls_server_version,0.413334131894583
NonTor / Tor-family,tls_server_alpn_info,0.413334131894583
NonTor / Tor-family,tls_server_cipher_val,0.4133341318945271
NonTor / Tor-family,Flow Duration,0.4005870338174615
NonTor / Tor-family,Fwd IAT Total,0.39863580123308906
NonTor / Tor-family,Idle Mean,0.3943814467255432
NonTor / Tor-family,Fwd IAT Max,0.38543155542366586
NonTor / Tor-family,Down/Up Ratio,0.3850620742228622
NonTor / Tor-family,Flow IAT Max,0.3830792298255445
NonTor / Tor-family,Flow IAT Mean,0.35273488690676313
NonTor / Tor-family,Bwd IAT Total,0.3508037519150393
NonTor / Tor-family,Flow IAT Std,0.3491505964442146
NonTor / Tor-family,Init_Win_bytes_forward,0.34876168717808875
NonTor / Tor-family,Fwd IAT Std,0.34613451804139406
NonTor / Tor-family,Fwd IAT Mean,0.34540811944090477
NonTor / Tor-family,Idle Std,0.33251348716670326
NonTor / Tor-family,Flow Packets/s,0.32968313743152544
NonTor / Tor-family,Bwd Packet Length Min,0.3126641312097638
NonTor / Tor-family,Packet Length Variance,0.29892411728924323
NonTor / Tor-family,Active Max,0.29768888179712527
NonTor / Tor-family,FIN Flag Count,0.29058915680586633
NonTor / Tor-family,Bwd IAT Max,0.2890748665408211
NonTor / Tor-family,Active Std,0.2815703430319615
NonTor / Tor-family,RST Flag Count,0.26213739927530816
NonTor / Tor-family,Bwd IAT Std,0.2614487084285181
NonTor / Tor-family,Total Length of Fwd Packets,0.25850336949507535
NonTor / Tor-family,Fwd IAT Min,0.2543560364485978
NonTor / Tor-family,Flow IAT Min,0.2506799001756426
NonTor / Tor-family,Active Mean,0.2420364501056805
NonTor / Tor-family,Bwd IAT Mean,0.22538089698763752
NonTor / Tor-family,PSH Flag Count,0.22102799629948888
NonTor / Tor-family,Total Length of Bwd Packets,0.2082493284860359
NonTor / Tor-family,Total Fwd Packets,0.20497188563382665
NonTor / Tor-family,ACK Flag Count,0.1944563775268321
NonTor / Tor-family,Active Min,0.18865697765834277
NonTor / Tor-family,Total Bwd Packets,0.18787934719999144
NonTor / Tor-family,Bwd IAT Min,0.1812930110545966
NonTor / Tor-family,Flow Bytes/s,0.12691226669779984
NonTor / Tor-family,tls_client_ptype,0.11233605601190277
NonTor / Tor-family,tls_client_version,0.11233605601190277
NonTor / Tor-family,tls_client_sni_presence,0.11233605601190277
NonTor / Tor-family,tls_client_cipher_count,0.11233605601190277
NonTor / Tor-family,tls_client_alpn_info,0.11233605601190277
NonTor / Tor-family,Fwd Packet Length Min,0.09783343095689946
NonTor / Tor-family,http_req_version,0.08421330568242787
NonTor / Tor-family,http_req_has_cookie,0.08421330568242787
NonTor / Tor-family,http_req_has_referer,0.08421330568242787
NonTor / Tor-family,http_req_has_lang,0.08421330568242787
NonTor / Tor-family,client_latency,0.08339367999107014
NonTor / Tor-family,http_method,0.0
NonTor / Tor-family,http_path_len,0.0
NonTor / Tor-family,http_req_method_short,0.0
NonTor / Tor-family,http_req_header_count,0.0
NonTor / Tor-family,tls_client_extension_count,0.0
NonTor / Tor-family,tls_server_extension_count,0.0
Tor / Tor-over-proxy,Down/Up Ratio,0.7826003917166376
Tor / Tor-over-proxy,Bwd Packet Length Min,0.6596961050701786
Tor / Tor-over-proxy,Init_Win_bytes_backward,0.6298691780883106
Tor / Tor-over-proxy,SYN Flag Count,0.6069070081124042
Tor / Tor-over-proxy,Flow IAT Mean,0.5985716931577332
Tor / Tor-over-proxy,Fwd IAT Mean,0.587506020545277
Tor / Tor-over-proxy,Fwd IAT Max,0.5871147213488284
Tor / Tor-over-proxy,Fwd IAT Min,0.5747323549290311
Tor / Tor-over-proxy,Flow IAT Min,0.5721707702288097
Tor / Tor-over-proxy,Fwd IAT Total,0.5625174358591924
Tor / Tor-over-proxy,Idle Max,0.5494708538791874
Tor / Tor-over-proxy,Flow IAT Max,0.5456901265409243
Tor / Tor-over-proxy,RST Flag Count,0.5289058528793913
