capture_id,class,pcap_path,csv_path,pcap_size,row_count,prototype_distance,prototype_margin,selection_rank,split
normal:20250617_165939,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_165939.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_165939.csv,2020534,37,1.5724283379683284,,699,test
normal:20250617_165952,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_165952.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_165952.csv,4435307,52,0.9143977429847758,,270,validation
normal:20250617_170008,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_170008.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170008.csv,7862813,189,1.3409145502103206,,2380,train
normal:20250617_170035,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_170035.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170035.csv,4314864,31,1.3861299170070704,,683,test
normal:20250617_170145,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_170145.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170145.csv,4013717,30,1.5401652078450556,,2470,train
normal:20250617_170204,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_170204.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170204.csv,3548305,65,1.6226590953578537,,2493,train
normal:20250617_170218,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_170218.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170218.csv,3644986,32,1.2666085780702323,,2342,train
normal:20250617_170231,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_170231.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170231.csv,3759215,79,1.0,,291,validation
normal:20250617_170328,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_170328.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170328.csv,686739,25,1.1511267314451092,,2257,train
normal:20250617_170348,NonTor,/data1/zcx/ja4tor/data/ja4tor/normal/pcap/20250617_170348.pcap,/data1/zcx/ja4tor/models/fusion_flow_extractor-0.3/output/csv/normal-0927/20250617_170348.csv,3422507,54,0.8371874707568732,,1692,train
